"Country","Region","Month","Female","Male","Hotelstay","Otherstay","Age0to12","Age13to20","Age21to35","Age36to49","Age50over","Leisure","Business","Conf_Convention","Education","Friend_Family","Otherreason"
"Dom. Residents",NA,2022-01-01,41839,30911,1303,71447,8638,7790,16942,17544,21836,43867,1088,423,680,9052,17640
"Ext. Residents",NA,2022-01-01,6509,7227,1072,12664,2004,1049,3262,3542,3879,7710,1290,65,354,1457,2860
"Dom. Non-Residents",NA,2022-01-01,50532,43744,3568,90708,1907,3696,22135,25082,41456,55245,1212,162,333,29185,8139
"Canada","North America",2022-01-01,18416,18241,29499,7158,2942,2766,9919,8446,12584,34772,357,38,8,802,680
"United States","North America",2022-01-01,76796,77952,98830,55918,15167,9009,45618,40002,44952,129058,4212,791,544,13487,6656
"Mexico","North America",2022-01-01,1188,1952,2012,1128,123,120,1142,1047,708,1946,524,100,12,229,329
"Aruba","Caribbean",2022-01-01,27,44,9,62,7,10,19,12,23,24,1,0,2,27,17
"Turk and Caicos Islands","Caribbean",2022-01-01,63,110,66,107,13,4,46,49,61,99,2,1,0,14,57
"Costa Rica","Central America",2022-01-01,300,351,358,293,45,38,190,206,172,414,122,9,1,57,48
"Cuba","Caribbean",2022-01-01,382,585,307,660,19,32,169,313,434,600,81,17,5,135,129
"Curaçao","Caribbean",2022-01-01,76,147,70,153,18,14,49,63,79,109,8,8,2,35,61
"El Salvador","Central America",2022-01-01,75,103,89,89,10,8,67,46,47,108,38,5,2,14,11
"Guadeloupe","Caribbean",2022-01-01,121,166,83,204,22,8,54,81,122,139,26,4,3,56,59
"Guatemala","Central America",2022-01-01,263,427,434,256,43,44,213,254,136,382,177,22,7,33,69
"Haiti","Caribbean",2022-01-01,628,943,615,956,70,59,646,511,285,647,183,20,52,233,436
"Honduras","Central America",2022-01-01,96,109,86,119,9,8,85,62,41,117,28,3,7,30,20
"Jamaica","Caribbean",2022-01-01,53,71,59,65,3,3,60,43,15,68,22,3,1,13,17
"Martinique","Caribbean",2022-01-01,79,130,99,110,6,5,53,61,84,94,20,1,0,44,50
"Panama","Central America",2022-01-01,723,893,884,732,197,162,484,426,347,972,274,24,23,191,132
"Puerto Rico","Caribbean",2022-01-01,1618,2266,1620,2264,208,231,1111,1092,1242,2413,311,36,125,594,405
"Saint Martin","Caribbean",2022-01-01,24,42,23,43,3,2,14,16,31,43,1,0,0,14,8
"Trinidad and Tobago","Caribbean",2022-01-01,21,24,20,25,5,0,12,17,11,24,3,2,0,8,8
