"Country","Date","Predicted"
"Dom. Residents",2025-01-01,85441
"Dom. Residents",2025-02-01,90538
"Dom. Residents",2025-03-01,70883
"Dom. Residents",2025-04-01,73546
"Dom. Residents",2025-05-01,73388
"Dom. Residents",2025-06-01,58513
"Ext. Residents",2025-01-01,14182
"Ext. Residents",2025-02-01,15514
"Ext. Residents",2025-03-01,12179
"Ext. Residents",2025-04-01,11944
"Ext. Residents",2025-05-01,12680
"Ext. Residents",2025-06-01,12099
"Dom. Non-Residents",2025-01-01,141539
"Dom. Non-Residents",2025-02-01,109661
"Dom. Non-Residents",2025-03-01,90601
"Dom. Non-Residents",2025-04-01,90078
"Dom. Non-Residents",2025-05-01,94875
"Dom. Non-Residents",2025-06-01,182178
"Canada",2025-01-01,49107
"Canada",2025-02-01,47926
"Canada",2025-03-01,34905
"Canada",2025-04-01,44029
"Canada",2025-05-01,90414
"Canada",2025-06-01,135620
"United States",2025-01-01,387446
"United States",2025-02-01,310692
"United States",2025-03-01,196380
"United States",2025-04-01,211446
"United States",2025-05-01,248881
"United States",2025-06-01,313896
"Mexico",2025-01-01,10931
"Mexico",2025-02-01,10783
"Mexico",2025-03-01,8660
"Mexico",2025-04-01,9394
"Mexico",2025-05-01,9799
"Mexico",2025-06-01,9586
"Aruba",2025-01-01,470
"Aruba",2025-02-01,277
"Aruba",2025-03-01,211
"Aruba",2025-04-01,204
"Aruba",2025-05-01,192
"Aruba",2025-06-01,289
"Turk and Caicos Islands",2025-01-01,415
"Turk and Caicos Islands",2025-02-01,455
"Turk and Caicos Islands",2025-03-01,389
"Turk and Caicos Islands",2025-04-01,361
"Turk and Caicos Islands",2025-05-01,364
"Turk and Caicos Islands",2025-06-01,373
"Costa Rica",2025-01-01,2331
"Costa Rica",2025-02-01,1767
"Costa Rica",2025-03-01,1693
"Costa Rica",2025-04-01,1701
"Costa Rica",2025-05-01,1578
"Costa Rica",2025-06-01,1794
"Cuba",2025-01-01,1378
"Cuba",2025-02-01,943
"Cuba",2025-03-01,796
"Cuba",2025-04-01,838
"Cuba",2025-05-01,915
"Cuba",2025-06-01,852
"Curaçao",2025-01-01,911
"Curaçao",2025-02-01,348
"Curaçao",2025-03-01,334
"Curaçao",2025-04-01,561
"Curaçao",2025-05-01,379
"Curaçao",2025-06-01,592
"El Salvador",2025-01-01,1215
"El Salvador",2025-02-01,1189
"El Salvador",2025-03-01,1166
"El Salvador",2025-04-01,1106
"El Salvador",2025-05-01,1061
"El Salvador",2025-06-01,1035
"Guadeloupe",2025-01-01,2014
"Guadeloupe",2025-02-01,2210
"Guadeloupe",2025-03-01,507
"Guadeloupe",2025-04-01,452
"Guadeloupe",2025-05-01,357
"Guadeloupe",2025-06-01,697
"Guatemala",2025-01-01,2984
"Guatemala",2025-02-01,3054
"Guatemala",2025-03-01,2793
"Guatemala",2025-04-01,2396
"Guatemala",2025-05-01,2899
"Guatemala",2025-06-01,2980
"Haiti",2025-01-01,838
"Haiti",2025-02-01,1182
"Haiti",2025-03-01,1637
"Haiti",2025-04-01,1887
